lemma,code,pos,en_word,disambiguation,sentence,wn_definition,lux_definition,necessary_edits,annotator
briechen,BRIECHEN1UNI1,VRB,to break,into pieces,d'Kanner hu beim Spillen eng Vas gebrach,go to pieces,ausernee falen,ausernee falen,Fred
Chaîne,CHAINE1UNI1,SUBST,chain,"of businesses, business group",vill kleng Epicerië gi vun de grousse Chaînen iwwerholl,(business) a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,"(business) Eng Rei vu gläichaartegen Etablissementer (Geschäfter, Restauranten, Banken, Hotellen oder Theateren), déi engem eenzege Besëtzer gehéieren.","(business) Eng Rei vu gläichaartegen Etablissementer (Geschäfter, Restauranten, Banken, Hotellen oder Theateren), déi engem eenzege Besëtzer gehéieren.",Fred
changéieren,CHANGEIEREN1UNI5,VRB,to change,to become different,d'Wieder huet an de leschten Deeg changéiert,"become different in some particular way, without permanently losing one's or its former characteristics or essence","An enger bestëmmter Aart a Weis anescht ginn, ouni seng fréier Eegenschaften oder säi Kär dauerhaft ze verléieren.","An enger bestëmmter Aart a Weis anescht ginn, ouni seng fréier Eegenschaften oder säi Kär dauerhaft ze verléieren.",Fred
Chimist,CHIMIST1UNI1,SUBST,chemist,scientist,hie schafft als Chimist an engem Laboratoire,a scientist who specializes in chemistry,"E Wëssenschaftler, deen op Chimie spezialiséiert ass.","E Wëssenschaftler, deen op Chimie spezialiséiert ass.",Fred
Course,COURSE1UNI1,SUBST,race,competition,ech si bei der Course als Drëtten iwwer d'Arrivée gefuer,any competition,All Zort vu Concours.,All Zort vu Concours.,Fred
dacks,DACKS1UNI2,ADV,often,in many cases,d'Locatairë sinn dacks net gutt iwwer hir Rechter a Flichten informéiert,in many cases or instances,a ville Fäll oder Situatiounen,a ville Fäll oder Situatiounen,Fred
däischter,DAISCHTER1UNI1,ADJ,dark,of sombre colour,fir d'Begriefnes hat mäin Neveu en däischtere Paltong un,(used of color) having a dark hue,(mat Bezuch op Faarf) eng donkel Nuance hunn,(mat Bezuch op Faarf) eng donkel Nuance hunn,Fred
Damm,DAMM2UNI3,SUBST,queen,chess piece,deen ee vun de Schachspiller huet seng Damm direkt verluer,(chess) the most powerful piece,(d'Schachfigur) déi stäerkst Figur um Spillbrett,(d'Schachfigur) déi stäerkst Figur um Spillbriet,Fred
därmoossen,DARMOOSSEN1UNI1,ADV,so,to such a degree,"ech war därmoossen erféiert, datt ech nach laang dono geziddert hunn",to a very great extent or degree,an engem ganz héije Mooss oder Grad,an engem ganz héije Mooss oder Grad,Fred
decidéieren,DECIDEIEREN1UNI1,VRB,to decide,to make a decision,"den Owend decidéiere mer, wuer mer an d'Vakanz ginn",cause to decide,"bewierken, datt eng Entscheedung geholl gëtt","bewierken, datt eng Entscheedung geholl gëtt",Fred
Defensiv,DEFENSIV2UNI2,SUBST,defense,in a team sport,d'Dammenekipp huet sech dës Saison virum allem an der Defensiv stabiliséiert,(sports) the team that is trying to prevent the other team from scoring,"(d'Sportaart) d'Ekipp, déi probéiert ze verhënneren, datt déi aner Ekipp Punkte mécht","(d'Sportaart) d'Ekipp, déi probéiert ze verhënneren, datt déi aner Ekipp Punkte mécht",Fred
demonstréieren,DEMONSTREIEREN1UNI1,VRB,to demonstrate,to prove by showing,eise Chimiesprofesser huet d'Theorie mat engem Experiment demonstréiert,"provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes","Beweiser liwweren; als Beweis déngen; duerch säi Verhalen, seng Astellung oder äusserlech Zeechen weisen.","Beweiser liwweren; als Beweis déngen; duerch säi Verhalen, seng Astellung oder äusserlech Zeeche weisen.",Fred
diktéieren,DIKTEIEREN1UNI2,VRB,to dictate,to give orders,"mäi Brudder léisst sech vu kengem diktéieren , wéi en sech ze behuelen huet",issue commands or orders for,Befehler oder Uerder ginn,Befeeler oder Uerder ginn,Fred
doen,DOEN1UNI3,VRB,to make,"to cause, to oblige",de Clown huet d'Kanner laache gedoen,cause to do; cause to act in a specified manner,"bewierken, datt een eppes mécht oder sech op eng bestëmmt Aart verhält","bewierken, datt een eppes mécht oder sech op eng bestëmmt Aart verhält",Fred
donkel,DONKEL1UNI1,ADJ,dark,of sombre colour,fir d'Feierlechkeeten hat ech en donkele Paltong un,(used of color) having a dark hue,(mat Faarwe benotzt) mat enger däischterer Nuance,(mat Faarwe benotzt) mat enger däischterer Nuance,Fred
dout maachen,DOUTMAACHEN1UNI1,VRB,to kill,to cause the death of,"hien ass esou en duusse Kärel, e kann net emol eng Méck dout maachen","cause to die; put to death, usually intentionally or knowingly","bewierken, datt een ophält ze liewen; engem bewosst oder absichtlech d'Liewe huelen","bewierken, datt ee stierft; engem bewosst oder absichtlech d'Liewen huelen",Fred
dréif,DREIF1UNI1,ADJ,cloudy,"opaque, murky",nom ville Reen ass d'Baach ellen dréif,(of liquids) clouded as with sediment,(vu Flëssegkeeten) duerch Sedimenter onkloer gemaach,(vu Flëssegkeeten) wéi duerch Sedimenter onkloer gemaach,Fred
drénken,DRENKEN1UNI7,VRB,to drink,alcohol,"du brauchs keng Fläsch Wäin opzemaachen, hien drénkt näischt",consume alcohol,Alkohol zou sech huelen,Alkohol zou sech huelen,Fred
eemol,EEMOL1UNI1,ADV,once,one time,mir fueren eemol am Joer e Weekend op Paräis,on one occasion,bei enger eenzeger Geleeënheet,bei enger eenzeger Geleeënheet,Fred
ekologesch,EKOLOGESCH1UNI1,ADJ,ecological,relating to ecology,ech hunn eng ekologesch Etüd iwwer de Reebësch gelies,of or relating to the science of ecology,bezunn op d'Wëssenschaft vun der Bezéiung tëscht Liewewiesen an hirer Ëmwelt,vun oder bezunn op d'Wëssenschaft vun der Ekologie,Fred
eriwwerbréngen,ERIWWERBRENGEN1UNI2,VRB,to convey,to express,wéi kann een de Sënn vun dësem Wuert eriwwerbréngen ?,serve as a means for expressing something,"Als Mëttel déngen, fir eppes auszedrécken.","Als Mëttel déngen, fir eppes auszedrécken.",Fred
erschafen,ERESCHAFEN1UNI1,VRB,to create,to bring into existence,der Bibel no gouf d'Welt vu Gott erschafen,bring into existence,An d'Existenz bréngen,An d'Existenz bréngen,Fred
Fanger,FANGER1UNI1,SUBST,finger,of the hand,den Aarbechter huet sech mat der See e Fanger erofgeschnidden,any of the terminal members of the hand (sometimes excepting the thumb),All eenzel Deeler um Enn vun der Hand (heiansdo ouni den Daum).,Eent vun de Glidder um Enn vun der Hand (heiansdo ouni den Daum).,Fred
Forschett,FORSCHETT1UNI1,SUBST,fork,item of cutlery,ech iessen de Poulet mat Messer a Forschett,cutlery used for serving and eating food,"Besteck, dat benotzt gëtt fir Iessen ze zerwéieren an ze iessen.","Besteck, dat benotzt gëtt fir Iessen ze zerwéieren an ze iessen.",Fred
gëllen,GELLEN1UNI1,ADJ,golden,made of gold,d'Bomi deet hire gëllene Bracelet nëmme sonndes un,made from or covered with gold,aus Gold gemaach oder mat Gold iwwerdeckt,aus Gold gemaach oder mat Gold iwwerdeckt,Fred
generéis,GENEREIS1UNI2,ADJ,generous,"kind, charitable",ëm Chrëschtdag sinn d'Leit méi generéis mat hiren Donen,willing to give and share unstintingly,Bereet vill ze ginn an ze deelen ouni Grenzen.,Bereet vill ze ginn an ze deelen ouni Grenzen.,Fred
Genialitéit,GENIALITEIT1UNI1,SUBST,genius,exceptional ability,ech bewonneren deem Kënschtler seng Genialitéit,exceptional creative ability,aussergewéinlech kreativ Fäegkeet,aussergewéinlech kreativ Fäegkeet,Fred
gutt,GUTT2UNI10,ADJ,good,"effective, suitable",Salz ass e gutt Mëttel géint Wäiflecken,most suitable or right for a particular purpose,am beschten oder am passendste fir e bestëmmten Zweck,am beschten oder am passendste fir e bestëmmten Zweck,Fred
halen,HALEN1UNI1,VRB,to keep,in one's possession,du kanns de Rescht Suen halen,retain possession of,am Besëtz behalen,am Besëtz behalen,Fred
historesch,HISTORESCH1UNI1,ADJ,historical,related to history,hie beschreift a sengem Artikel déi historesch Hannergrënn vum Konflikt,of or relating to the study of history,bezunn op d'Erfuerschung vun der Vergaangenheet,bezunn op d'Erfuerschung vun der Vergaangenheet,Fred
Hoff,HOFF1UNI1,SUBST,effort,exertion,loosst mer nach en Hoff maachen!,use of physical or mental energy; hard work,Asaz vu kierperlecher oder geeschteger Kraaft; ustrengend Aarbecht,Asaz vu kierperlecher oder geeschteger Kraaft; ustrengend Aarbecht,Fred
hunn,HUNN1UNI1,VRB,to have,to own,"mäi Schwoer huet dräi Autoen, e fiert awer nëmme mat engem",have ownership or possession of,Besëtzer vun eppes sinn oder eppes gehéieren.,Besëtzer vun eppes sinn oder eppes gehéieren.,Fred
Ikon,IKON1UNI3,SUBST,icon,graphic symbol,"du muss zweemol op déi Ikon do klicken, fir dat Dokument opzemaachen",(computer science) a graphic symbol (usually a simple picture) that denotes a program or a command or a data file or a concept in a graphical user interface,"(e Computerwëssenschaft) e grafescht Symbol (meeschtens e klengt Bild), dat an enger grafescher Benotzeruewerfläch e Programm, e Kommando, eng Datei oder e Konzept duerstellt","(Informatik) e grafescht Symbol (meeschtens e klengt Bild), dat an enger grafescher Benotzeruewerfläch e Programm, e Kommando, eng Datei oder e Konzept duerstellt",Fred
iwwerraschen,IWWERRASCHEN1UNI1,VRB,to surprise,to cause surprise,mäi Mann huet mech mat engem Bijou iwwerrascht,cause to be surprised,"bewierken, datt een erstaunt ass","bewierken, datt een erstaunt ass",Fred
just,JUST2UNI8,ADV,just,nothing but,mir hunn an der Mëttesstonn just eng Klengegkeet giess,and nothing more,an näischt anescht méi,an näischt anescht méi,Fred
kenne léieren,KENNELEIEREN1UNI1,VRB,to meet,to make the acquaintance of,"et géif eis freeën, däin neie Frënd kennen ze léieren",get to know; get acquainted with,Bekanntschaft maache mat enger Persoun oder enger Saach,Bekanntschaft maache mat enger Persoun oder enger Saach,Fred
Ketten,KETTEN1UNI7,SUBST,chain,of businesses,vill kleng Epicerië gi vun de grousse Ketten iwwerholl,(business) a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,"(business) Eng Rei vu gläichaartegen Etablissementer (Geschäfter, Restauranten, Banken, Hoteller oder Theateren), déi engem eenzege Besëtzer gehéieren.","(business) Eng Rei vu gläichaartegen Etablissementer (Geschäfter, Restauranten, Banken, Hoteller oder Theateren), déi engem eenzege Besëtzer gehéieren.",Fred
Kinnek,KINNEK1UNI4,SUBST,king,chess piece,hien huet de Kinnek mat engem Bauer schachmatt gesat,(chess) the weakest but the most important piece,(Schach) déi schwaachst awer wichtegst Figur um Spillbrett,(Schach) déi schwächst wichtegst Figur um Spillbriet,Fred
kommunal,KOMMUNAL1UNI1,ADJ,local,"local government, regional",dës Reegelung gëllt nëmmen op kommunalem Niveau,relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area,"bezitt sech op d'Verwaltung vun enger Stad, enger Uertschaft oder engem Quartier, an net op e méi grousst Gebitt","bezitt sech op d'Verwaltung vun enger Stad, enger Uertschaft oder engem Quartier, an net op e méi grousst Gebitt",Fred
kompostéieren,KOMPOSTEIEREN1UNI1,VRB,to compost,to make into compost,mir kompostéieren all organesch Offäll aus eisem Stot,convert to compost,an Dünger ëmwandelen,a Kompost ëmwandelen,Fred
konstitutionell,KONSTITUTIONELL1UNI1,ADJ,constitutional,relating to governing principles,"fir eng konstitutionell Kris ze verhënneren, ass d'Verfassung geännert ginn",sanctioned by or consistent with or operating under the law determining the fundamental political principles of a government,"am Aklang mat oder ënnerstëtzt duerch d'Gesetz, dat déi grondleeënd politesch Prinzippie vun enger Regierung festleet","am Aklang mat oder ënnerstëtzt duerch d'Gesetz, dat déi grondleeënd politesch Prinzippie vun enger Regierung festleet",Fred
Kritik,KRITIK1UNI1,SUBST,criticism,disapproval,"ech weess, datt ech soss näischt ewéi Kriticke vun dir ze erwaarden hunn",disapproval expressed by pointing out faults or shortcomings,"Ausdrock vun Onzefriddenheet, andeems Feeler oder Schwächten ervirgehuewe ginn.","Ausdrock vun Onzefriddenheet, andeems Feeler oder Schwächten ervirgehuewe ginn.",Fred
lafen,LAFEN1UNI7,VRB,to run,a race,bass du schonn eng Kéier e Marathon gelaf ?,compete in a race,bei enger Course géint anerer untrieden,bei enger Course untrieden,Fred
Leefer,LEEFER1UNI2,SUBST,bishop,chess piece,dee schwaarze Leefer beweegt sech nëmmen op deene schwaarze Felder,(chess) a piece that can be moved diagonally over unoccupied squares of the same color,"(echecs) eng Figur, déi sech diagonal iwwer fräi Felder vun der selwechter Faarf beweege kann","(Schach) eng Figur, déi sech diagonal iwwer fräi Felder vun der selwechter Faarf beweege kann",Fred
maachen,MAACHEN1UNI6,VRB,to make,to cause to become,déi Nouvelle huet mech trauereg gemaach,make or cause to be or to become,"bewierken oder dozou féieren, datt eppes ass oder gëtt","bewierken oder dozou féieren, datt eppes ass oder gëtt",Fred
manipuléieren,MANIPULEIEREN1UNI2,VRB,to manipulate,to influence,mat sengem Gerieds huet hie vill Leit kënne manipuléieren,"control (others or oneself) or influence skillfully, usually to one's advantage","aner Leit oder sech selwer op eng geschéckt Manéier beaflossen oder steieren, meeschtens fir en eegene Virdeel erauszezéien","aner Leit oder sech selwer op eng geschéckt Manéier beaflossen oder steieren, meeschtens fir en eegene Virdeel erauszezéien",Fred
Marsch,MARSCH1UNI2,SUBST,walk,way of walking,et erkennt een dech scho vu Wäitem un dengem Marsch,manner of walking,Aart a Weis wéi ee geet,Aart a Weis wéi ee geet,Fred
matspillen,MATSPILLEN1UNI1,VRB,to play,to participate as a player,"wann s de wëlls matspillen , muss de dech un d'Reegelen halen!",participate in games or sport,bei Spiller oder Sportaktivitéite matmaachen,bei Spiller oder Sportaktivitéite matmaachen,Fred
matzielen,MATZIELEN1UNI2,VRB,to count,to be taken into account,fir d'Moyenne zielen déi zwee Fächer net mat,take account of,berécksiichtegen,berécksiichtegen,Fred
metallesch,METALLESCH1UNI1,ADJ,metallic,resembling metal,"fënns de net, datt d'Waasser e metallesche Goût huet?",containing or made of or resembling or characteristic of a metal; ; ; - Ambrose Bierce,"aus engem Material gemaach, dat wéi Metall ausgesäit oder sech esou ufillt, oder Eegeschafte vun engem Metall huet",e Metall enthalen oder aus engem Metall gemaach sinn oder wéi e Metall ausgesinn oder oder Eegenschafte vun engem Metall hunn,Fred
Mëttelfeld,METTELFELD1UNI1,SUBST,midfield,of a sports pitch,nëmme wéineg Attacke vum Géigner sinn iwwer d'Mëttelfeld erauskomm,(sports) the middle part of a playing field (as in football or lacrosse),(sportlech) den zentrale Beräich vum Spillterrain (wéi zum Beispill am Fussball oder Lacrosse),(Sport) den zentrale Beräich vum Spillfeld (wéi zum Beispill am Fussball oder Lacrosse),Fred
Mineur,MINEUR2UNI1,SUBST,miner,mineworker,beim Accident an der Galerie sinn dräi Mineuren ëmkomm,laborer who works in a mine,"Aarbechter, deen an engem Biergwierk schafft","Aarbechter, deen an enger Minière schafft",Fred
Minière,MINIERE1UNI1,SUBST,mine,excavation,d'Exploitatioun vun der Minière ass net méi rentabel,excavation in the earth from which ores and minerals are extracted,"Ausgruewung an der Äerd, aus där Äerz a Mineralie geholl ginn.","Ausgruewung an der Äerd, aus där Äerz a Mineralie geholl ginn.",Fred
moossen,MOOSSEN1UNI3,VRB,to measure,to be of a specified size,ech moosse bal zwee Meter,have certain dimensions,bestëmmte Moossen hunn,bestëmmte Moossen hunn,Fred
musikalesch,MUSIKALESCH1UNI2,ADJ,musical,skilled in music,ech kommen aus enger musikalescher Famill,talented in or devoted to music,begabt an interesséiert u Musek,begaabt an oder interesséiert u Musek,Fred
nach,NACH1UNI10,ADV,only,nothing but,"well ech just nach mäin Handy benotzen, hunn ech den Haustelefon ofgemellt",and nothing more,an näischt weider,an näischt anescht,Fred
ofsprangen,OFSPRANGEN1UNI3,VRB,to jump,to parachute,d'Parachutiste sinn hanner de feindleche Linnen ofgesprongen,jump from an airplane and descend with a parachute,aus engem Fliger sprangen an mat engem Fallschierm erofkommen,aus engem Fliger sprangen a mat engem Fallschierm erofkommen,Fred
oft,OFT1UNI2,ADV,often,in many cases,"d'Leit wëssen oft net, u wie se sech solle wenden, wa se mat deem Problem konfrontéiert ginn",in many cases or instances,a ville Fäll oder Situatiounen,a ville Fäll oder Situatiounen,Fred
onkologesch,ONKOLOGESCH1UNI1,ADJ,oncological,concerned with tumours,d'Chimiotherapie ass eng vun de weesentlechen onkologeschen Therapien,of or relating to or practicing oncology,bezitt sech op d'Behandlung an d'Erfuerschung vu Kriibserkrankungen,bezitt sech op d'Onkologie,Fred
organesch,ORGANESCH1UNI1,ADJ,organic,relating to a bodily organ,fir meng Verdauungsproblemer fënnt d'Doktesch keng organesch Ursaach,involving or affecting physiology or bodily organs,betrëfft oder beaflosst d'Physiologie oder Kierperdeeler,betrëfft oder beaflosst d'Physiologie oder kierperlech Organer,Fred
pathologesch,PATHOLOGESCH1UNI1,ADJ,pathological,relating to pathology,"fir de Suivi vun der Behandlung wier et wichteg, der Patientin hire pathologeschen Dossier ze gesinn",of or relating to the practice of pathology,bezunn op d'Praxis vun der Krankheetsfuerschung,bezunn op d'Praxis vun der Pathologie,Fred
praktesch,PRAKTESCH1UNI2,ADJ,practical,concerned with practice,ech hunn de prakteschen Exame gepackt,concerned with actual use or practice,bezitt sech op déi tatsächlech Notzung oder Uwendung,bezitt sech op déi tatsächlech Notzung oder Uwendung,Fred
Satellit,SATELLIT1UNI1,SUBST,satellite,celestial body,de Mound ass e Satellit vun der Äerd,any celestial body orbiting around a planet or star,"All Himmelskierper, deen ëm e Planéit oder e Stär kreest.","All Himmelskierper, deen ëm e Planéit oder e Stär kreest.",Fred
Schädling,SCHADLING1UNI1,SUBST,pest,"insect, plant",an eisem Wënzerbetrib gebrauche mir nëmme biologesch Mëttele géint d'Schädlingen an de Wéngerten,any unwanted and destructive insect or other animal that attacks food or crops or livestock etc.,"All onerwënscht an zerstéierend Insekt oder anert Déier, dat Liewensmëttel, Planzen oder Notzdéieren ugräift.","All onerwënscht an zerstéierend Insekt oder anert Déier, dat Liewensmëttel, Planzen oder Notzdéieren ugräift.",Fred
Schifertafel,SCHIFERTAFEL1UNI1,SUBST,slate,writing tablet,fréier hat all Kand eng Schifertafel am Schoulsak,(formerly) a writing tablet made of slate,(eemoleg) eng Schreifplack aus Schifer gemaach,(deemoleg) eng Schreifplack aus Schifer,Fred
schlofen,SCHLOFEN1UNI1,VRB,to sleep,to slumber,ech leie gär um Bauch fir ze schlofen,be asleep,am Schlof sinn,am Schlof sinn,Fred
Sekonn,SEKONN1UNI1,SUBST,second,unit of time,de Coureur ass mat engem Virsprong vun dräi Sekonnen iwwer d'Arrivée gefuer,1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites,"1/60 vun enger Minutt; d'Grondeenheet vun der Zäit, déi am internationale Moossystem benotzt gëtt.","1/60 vun enger Minutt; d'Grondeenheet vun der Zäit, déi am internationale Moosssystem benotzt gëtt.",Fred
sëlwer,SELWER2UNI1,ADJ,silver,made of silver,ech krut e sëlwere Bracelet fir de Gebuertsdag geschenkt,made from or largely consisting of silver,aus oder gréisstendeels aus engem wäertvolle gro-wäisse Metall gemaach,aus oder gréisstendeels aus Selwer gemaach,Fred
Sex,SEX1UNI2,SUBST,sex,"sexual intercourse, sexual activity","bei dir dréit sech alles ëm Suen, Sex an Autoen!",activities associated with sexual intercourse,"Aktivitéiten, déi mam Geschlechtsverkéier ze dinn hunn.","Aktivitéiten, déi mam Geschlechtsverkéier ze dinn hunn.",Fred
spillen,SPILLEN1UNI2,VRB,to play,a sport,mäi Bouf spillt Tennis a mäi Meedche Fussball,participate in games or sport,bei Spiller oder Sportaarte matmaachen,bei Spiller oder Sportaarte matmaachen,Fred
sportlech,SPORTLECH1UNI1,ADJ,sporting,connected with sport,den Athleet ass fir seng sportlech Leeschtunge geéiert ginn,relating to or used in sports,bezitt sech op oder gëtt beim Sport benotzt,bezitt sech op oder gëtt beim Sport benotzt,Fred
stellen,STELLEN1UNI11,VRB,to stand,to place upright,"fir de Wäin ze versuergen, soll een d'Fläsche leeën, net stellen",put into an upright position,an eng oprecht Positioun bréngen,an eng oprecht Positioun bréngen,Fred
stellen,STELLEN1UNI4,VRB,to set,"to adjust, to regulate",stell d'Temperatur vum Heizkierper méi niddereg!,alter or regulate so as to achieve accuracy or conform to a standard,"Änneren oder astellen, fir genee ze sinn oder engem bestëmmte Standard ze entspriechen.","Änneren oder astellen, fir genee ze sinn oder engem bestëmmte Standard ze entspriechen.",Fred
stoen,STOEN1UNI1,VRB,to stand,to be upright,"no deem laange Sëtze war ech frou, emol nees ze stoen",be standing; be upright,an enger oprechter Positioun sinn; oprecht sinn,an enger oprechter Positioun sinn; oprecht sinn,Fred
Streech,STREECH2UNI1,SUBST,trick,in a card game,"wann ee gutt Kaarten huet, ass et liicht, vill Streech ze kréien","(card games) in a single round, the sequence of cards played by all the players; the high card is the winner","(Kaartespill) an enger eenzeger Ronn, d'Reiefolleg vun de Kaarten, déi vun alle Spiller geluecht ginn; déi héchst Kaart gewënnt.","(Kaartespill) an enger eenzeger Ronn, d'Reiefolleg vun de Kaarten, déi vun alle Spiller geluecht ginn; déi héchst Kaart gewënnt.",Fred
strikt,STRIKT1UNI1,ADJ,strict,"rigorous, stringent","d'Personal vum Betrib krut strikt Uweisungen, wéi et sech soll behuelen, wann et brennt",(of rules) stringently enforced,(vu Reegelen) déi ganz streng duerchgesat ginn,(vu Reegelen) déi ganz streng duerchgesat ginn,Fred
treffen,TREFFEN1UNI11,VRB,to meet,"to touch, to join","do, wou zwou grouss Stroossen sech treffen , sinn dacks Rout Luuchten",be in direct physical contact with; make contact,a kierperlech a Beréierung sinn; a Kontakt kommen,kierperlech a Beréierung sinn; a Kontakt kommen,Fred
Urteel,URTEEL1UNI1,SUBST,judgement,of a court of law,"hues de wëlles, géint d'Urteel an Appell ze goen?",(law) the determination by a court of competent jurisdiction on matters submitted to it,"(droit) D'Entscheedung vun engem zoustännege Geriicht iwwer eng Saach, déi him virgeluecht gouf.","(Droit) D'Entscheedung vun engem zoustännege Geriicht iwwer eng Saach, déi em virgeluecht gouf.",Fred
vernichten,VERNICHTEN1UNI1,VRB,to destroy,to eliminate,"dat Land ass bereet, seng cheemesch Waffen ze vernichten","do away with, cause the destruction or undoing of","aus dem Wee raumen, d'Zerstéierung oder den Ënnergang ervirruffen","aus dem Wee raumen, d'Zerstéierung oder d'Vernichtung vun eppes bewierken",Fred
verteidegen,VERTEIDEGEN1UNI1,VRB,to defend,against an attack,"d'Arméi ass do, fir d'Land ze verteidegen",be on the defensive; act against an attack,"an der Positioun sinn, fir sech géint en Ugrëff ze wieren; géint eng Attack handelen","an der Positioun sinn, fir sech géint en Ugrëff ze wieren; géint eng Attack handelen",Fred
Verteidegung,VERTEIDEGUNG1UNI4,SUBST,defence,in a team sport,mäi Brudder spillt an eiser Fussballsekipp an der Verteidegung,(sports) the team that is trying to prevent the other team from scoring,"(d'Sportaart) d'Ekipp, déi probéiert ze verhënneren, datt déi aner Ekipp Punkte mécht","(Sport) d'Ekipp, déi probéiert ze verhënneren, datt déi aner Ekipp Punkte mécht",Fred
virkommen,VIRKOMMEN1UNI2,VRB,to feel,to have the feeling of being,hei kënnt ee sech vir wéi an der Spillschoul,be felt or perceived in a certain way,als op eng bestëmmten Aart a Weis empfonnt oder wouergeholl ginn,als op eng bestëmmten Aart a Weis empfonnt oder wouergeholl ginn,Fred
wëll,WELL1UNI1,ADJ,wild,not domesticated,"déi do Kaz kënnt net bei dech, se ass wëll",in a natural state; not tamed or domesticated or cultivated,"an engem natierlechen Zoustand; net gezëmt, domestizéiert oder ugeplanzt","an engem natierlechen Zoustand; net gezäämt, domestikéiert oder ugeplanzt",Fred
Wiesen,WIESEN1UNI4,SUBST,farm,"farmland(s), farmstead","de Bauer huet e schéint, grousst Wiese geierft",workplace consisting of farm buildings and cultivated land as a unit,"Aarbechtsplaz, déi aus Bauerenhaiser an ugebautem Land als eng Eenheet besteet.","Aarbechtsplaz, déi aus Bauerenhaiser an ugebautem Land als eng Eenheet besteet.",Fred
