lemma,code,pos,en_word,disambiguation,sentence,wn_definition,lux_definition,gloss_with_example,gloss_without_example
Betounung,BETOUNUNG1UNI2,SUBST,stress,"emphasis, importance",am President senger Neijoerschried louch d'Betounung op de positiven Aspekter vum vergaangene Joer,special emphasis attached to something,"Besonnesch ervirgehuewene Wäertung, déi enger Saach zougeschriwwe gëtt",d'Handlung fir eppes besonnesch ervirzehiewen oder ze ënnersträichen,"Eng speziell ervirgehuewen Aussprooch oder Schwéierpunkt, deen op eppes geluecht gëtt."
briechen,BRIECHEN1UNI1,VRB,to break,into pieces,d'Kanner hu beim Spillen eng Vas gebrach,go to pieces,ausernee falen,Eppes mat Kraaft a Stécker maachen oder futti maachen.,Briechen: eppes mat Kraaft an Deeler ausernee maachen oder zerbriechen.
Chaîne,CHAINE1UNI1,SUBST,chain,"of businesses, business group",vill kleng Epicerië gi vun de grousse Chaînen iwwerholl,(business) a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,"(business) Eng Rei vu gläichaartegen Etablissementer (Geschäfter, Restauranten, Banken, Hotellen oder Theateren), déi engem eenzege Besëtzer gehéieren.","Grupp vu Geschäfter oder Butteker, déi zu enger Firma gehéieren an ënner dem selwechten Numm funktionéieren.","Eng Ketten oder eng Rei vu verbonne Glidder, déi zesummen eng flexibel Verbindung bilden. Kann och eng Kette vu Geschäfter oder Restauranten bedeiten."
changéieren,CHANGEIEREN1UNI5,VRB,to change,to become different,d'Wieder huet an de leschten Deeg changéiert,"become different in some particular way, without permanently losing one's or its former characteristics or essence","An enger bestëmmter Aart a Weis anescht ginn, ouni seng fréier Eegenschaften oder säi Kär dauerhaft ze verléieren.","änneren, sech veränneren","Changéieren heescht eppes änneren oder austauschen, vun engem Zoustand an en aneren iwwergoen."
Chimist,CHIMIST1UNI1,SUBST,chemist,scientist,hie schafft als Chimist an engem Laboratoire,a scientist who specializes in chemistry,"E Wëssenschaftler, deen op Chimie spezialiséiert ass.","E Chimist ass eng Persoun, déi sech berufflech mat Chimie beschäftegt, zum Beispill duerch Fuerschung oder Analysen am Labo.","E Chimist ass eng Persoun, déi sech mat Chimie beschäftegt oder an engem chemesche Beruff schafft."
Course,COURSE1UNI1,SUBST,race,competition,ech si bei der Course als Drëtten iwwer d'Arrivée gefuer,any competition,All Zort vu Concours.,"e sportleche Concours oder e Rennen, wou Leit oder Gefierer géintenee konkurréieren, fir ze kucken, wien am séiersten ass",Eng Course ass eng Serie vu Lektiounen oder Unterrechtsstonnen iwwer e bestëmmt Thema oder Fachgebitt.
dacks,DACKS1UNI2,ADV,often,in many cases,d'Locatairë sinn dacks net gutt iwwer hir Rechter a Flichten informéiert,in many cases or instances,a ville Fäll oder Situatiounen,"oft, vill Mol","""Dacks"" bedeit ""oft"" oder ""heefeg""."
däischter,DAISCHTER1UNI1,ADJ,dark,of sombre colour,fir d'Begriefnes hat mäin Neveu en däischtere Paltong un,(used of color) having a dark hue,(mat Bezuch op Faarf) eng donkel Nuance hunn,mat wéineg Liicht; net hell; bal schwaarz,Däischter bedeit ouni Liicht oder net hell; et beschreift eppes wat donkel ass.
Damm,DAMM2UNI3,SUBST,queen,chess piece,deen ee vun de Schachspiller huet seng Damm direkt verluer,(chess) the most powerful piece,(d'Schachfigur) déi stäerkst Figur um Spillbrett,"D'Kinnigin am Schachspill, déi wichtegst Figur mam héchste Wäert.","En Opbau, deen d'Waasser zeréckhält oder reguléiert, oder eng Konstruktioun, déi e Gewässer oftrennt oder schützt."
därmoossen,DARMOOSSEN1UNI1,ADV,so,to such a degree,"ech war därmoossen erféiert, datt ech nach laang dono geziddert hunn",to a very great extent or degree,an engem ganz héije Mooss oder Grad,an esou engem héije Mooss; esou staark; esou extrem,"An deem Mooss, an där Moossnam; souvill, esou vill."
decidéieren,DECIDEIEREN1UNI1,VRB,to decide,to make a decision,"den Owend decidéiere mer, wuer mer an d'Vakanz ginn",cause to decide,"bewierken, datt eng Entscheedung geholl gëtt","entscheeden, eng Decisioun huelen","Decidéieren: Eng Entscheedung treffen oder beschléissen, wat ee maache wëll."
Defensiv,DEFENSIV2UNI2,SUBST,defense,in a team sport,d'Dammenekipp huet sech dës Saison virum allem an der Defensiv stabiliséiert,(sports) the team that is trying to prevent the other team from scoring,"(d'Sportaart) d'Ekipp, déi probéiert ze verhënneren, datt déi aner Ekipp Punkte mécht","Defensiv: de Beräich oder d'Verhalen, wou eng Ekipp oder e Spiller sech virun Attacke vum Géigner schützt an d'Goler verhënnert.","Defensiv bedeit, sech ze verdeedegen oder op Verdeedegung orientéiert ze sinn, amplaz offensiv oder ugrëffend ze handelen."
demonstréieren,DEMONSTREIEREN1UNI1,VRB,to demonstrate,to prove by showing,eise Chimiesprofesser huet d'Theorie mat engem Experiment demonstréiert,"provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes","Beweiser liwweren; als Beweis déngen; duerch säi Verhalen, seng Astellung oder äusserlech Zeechen weisen.",eppes mat engem Beispill oder engem Experiment weisen oder beweisen,Eppes duerch Beispiller oder Handlungen weisen oder erklären; och eppes ëffentlech weisen oder protestéieren.
diktéieren,DIKTEIEREN1UNI2,VRB,to dictate,to give orders,"mäi Brudder léisst sech vu kengem diktéieren , wéi en sech ze behuelen huet",issue commands or orders for,Befehler oder Uerder ginn,"virschreiwen oder bestëmmen, wéi een eppes maachen oder sech verhalen soll","Engem en Text virsoen, deen déi aner Persoun opschreift; engem virginn, wat ze maachen oder ze schreiwen ass."
doen,DOEN1UNI3,VRB,to make,"to cause, to oblige",de Clown huet d'Kanner laache gedoen,cause to do; cause to act in a specified manner,"bewierken, datt een eppes mécht oder sech op eng bestëmmt Aart verhält","verursaachen, datt eppes geschitt; maachen datt eppes passéiert","""doen"" bedeit eng Handlung ausféieren oder eppes maachen."
donkel,DONKEL1UNI1,ADJ,dark,of sombre colour,fir d'Feierlechkeeten hat ech en donkele Paltong un,(used of color) having a dark hue,(mat Faarwe benotzt) mat enger däischterer Nuance,mat wéineg Liicht; net hell; bal schwaarz,"Donkel bedeit, datt eppes wéineg oder guer kee Liicht huet, oder schwéier ze gesinn ass."
dout maachen,DOUTMAACHEN1UNI1,VRB,to kill,to cause the death of,"hien ass esou en duusse Kärel, e kann net emol eng Méck dout maachen","cause to die; put to death, usually intentionally or knowingly","bewierken, datt een ophält ze liewen; engem bewosst oder absichtlech d'Liewe huelen","ëmbréngen, ëm d'Liewe bréngen","Eppes ausmaachen oder läschen, wéi zum Beispill e Feier oder eng Luucht."
dréif,DREIF1UNI1,ADJ,cloudy,"opaque, murky",nom ville Reen ass d'Baach ellen dréif,(of liquids) clouded as with sediment,(vu Flëssegkeeten) duerch Sedimenter onkloer gemaach,"dréif: duerch Bulli oder Dreck onkloer, net kloer oder propper, tréiwen, verschmotzt","""Dréif"" bedeit traureg, melancholesch oder schlecht gelaunt."
drénken,DRENKEN1UNI7,VRB,to drink,alcohol,"du brauchs keng Fläsch Wäin opzemaachen, hien drénkt näischt",consume alcohol,Alkohol zou sech huelen,Flëssegkeet duerch de Mond ophuelen.,Drénken: eng Flëssegkeet duerch de Mond ophuelen.
eemol,EEMOL1UNI1,ADV,once,one time,mir fueren eemol am Joer e Weekend op Paräis,on one occasion,bei enger eenzeger Geleeënheet,eng Kéier; ee Mol,eemol: ee Mol; eng eenzeg Kéier; fréier eng Kéier; eng Kéier an der Vergaangenheet
ekologesch,EKOLOGESCH1UNI1,ADJ,ecological,relating to ecology,ech hunn eng ekologesch Etüd iwwer de Reebësch gelies,of or relating to the science of ecology,bezunn op d'Wëssenschaft vun der Bezéiung tëscht Liewewiesen an hirer Ëmwelt,"ekologesch: bezitt sech op d'Ëmwelt oder op d'Natur, ëmweltfrëndlech, nohalteg.",Ekologesch bedeit ëmweltfrëndlech oder am Aklang mat der Natur.
eriwwerbréngen,ERIWWERBRENGEN1UNI2,VRB,to convey,to express,wéi kann een de Sënn vun dësem Wuert eriwwerbréngen ?,serve as a means for expressing something,"Als Mëttel déngen, fir eppes auszedrécken.",eppes verständlech maachen oder engem anere vermëttelen,Eppes verständlech maachen oder eng Informatioun kloer vermëttelen.
erschafen,ERESCHAFEN1UNI1,VRB,to create,to bring into existence,der Bibel no gouf d'Welt vu Gott erschafen,bring into existence,An d'Existenz bréngen,"erschafen: eppes nei schafen oder kreéieren, besonnesch am reliéise Kontext, wéi Gott d'Welt erschaf huet.","Eppes nei kreéieren oder schafen, wat virdrun nach net existéiert huet."
Fanger,FANGER1UNI1,SUBST,finger,of the hand,den Aarbechter huet sech mat der See e Fanger erofgeschnidden,any of the terminal members of the hand (sometimes excepting the thumb),All eenzel Deeler um Enn vun der Hand (heiansdo ouni den Daum).,"E Fanger ass en Deel vum Kierper, deen un der Hand ass an deen ee benotzt fir ze gräifen an ze spieren.","E Fanger ass eng Persoun, déi Déieren oder aner Liewewiesen afänkt oder festhält."
Forschett,FORSCHETT1UNI1,SUBST,fork,item of cutlery,ech iessen de Poulet mat Messer a Forschett,cutlery used for serving and eating food,"Besteck, dat benotzt gëtt fir Iessen ze zerwéieren an ze iessen.","Eng Forschett ass en Iessgeschir mat Zénken, dat benotzt gëtt fir Iessen opzehuelen oder festzehalen.","Eng kleng, meeschtens metallesch Gafel mat zwou oder méi Zénken, déi benotzt gëtt fir Fleesch oder aner Liewensmëttel beim Zerwéieren oder Grillen festzehalen."
gëllen,GELLEN1UNI1,ADJ,golden,made of gold,d'Bomi deet hire gëllene Bracelet nëmme sonndes un,made from or covered with gold,aus Gold gemaach oder mat Gold iwwerdeckt,aus Gold oder mat enger gëllener Faarf; wéi Gold ausgesinn oder glänzen,"""Gëllen"" bedeit, datt eppes valabel ass, a Kraaft ass oder gülteg ass."
generéis,GENEREIS1UNI2,ADJ,generous,"kind, charitable",ëm Chrëschtdag sinn d'Leit méi generéis mat hiren Donen,willing to give and share unstintingly,Bereet vill ze ginn an ze deelen ouni Grenzen.,"generéis: fräigebeg, gär bereet fir ze ginn oder ze hëllefen, grousszicheg.","Generéis bedeit fräigebeg, spendabel oder groussherzeg, wann een anere gäre vill gëtt oder hëlleft ouni eppes dofir ze verlaangen."
Genialitéit,GENIALITEIT1UNI1,SUBST,genius,exceptional ability,ech bewonneren deem Kënschtler seng Genialitéit,exceptional creative ability,aussergewéinlech kreativ Fäegkeet,aussergewéinlech kreativ oder intellektuell Fäegkeet; genial Eegenschaft oder Talent,"Genialitéit ass d'Eegenschaft, besonnesch intelligent, kreativ oder originell ze sinn."
gutt,GUTT2UNI10,ADJ,good,"effective, suitable",Salz ass e gutt Mëttel géint Wäiflecken,most suitable or right for a particular purpose,am beschten oder am passendste fir e bestëmmten Zweck,vun héijer Qualitéit; positiv; effektiv,"""Gutt"" bedeit, datt eppes positiv, agreabel oder vu gudder Qualitéit ass."
halen,HALEN1UNI1,VRB,to keep,in one's possession,du kanns de Rescht Suen halen,retain possession of,am Besëtz behalen,"behalen, net zeréckginn oder ofginn",Halen: Eppes mat der Hand oder engem Objet festgräifen an net lassloossen.
historesch,HISTORESCH1UNI1,ADJ,historical,related to history,hie beschreift a sengem Artikel déi historesch Hannergrënn vum Konflikt,of or relating to the study of history,bezunn op d'Erfuerschung vun der Vergaangenheet,historesch: wat sech op d'Geschicht bezitt oder domat zesummenhänkt.,"Historesch bedeit, datt eppes mat der Geschicht ze dinn huet oder aus der Vergaangenheet kënnt."
Hoff,HOFF1UNI1,SUBST,effort,exertion,loosst mer nach en Hoff maachen!,use of physical or mental energy; hard work,Asaz vu kierperlecher oder geeschteger Kraaft; ustrengend Aarbecht,"En Hoff ass e groussen, déifen Otemzuch, deen ee mécht, wann ee midd ass oder sech entspane wëll.","En Hoff ass en oppene Beräich oder Plaz, dacks ëmgi vu Gebaier, wéi zum Beispill e Bauerenhaff oder en Haff bei engem Schlass."
hunn,HUNN1UNI1,VRB,to have,to own,"mäi Schwoer huet dräi Autoen, e fiert awer nëmme mat engem",have ownership or possession of,Besëtzer vun eppes sinn oder eppes gehéieren.,Besëtzen oder eppes als eegent hunn.,"""hunn"" bedeit am Lëtzebuergeschen ""besëtzen"" oder gëtt als Hëllefsverb benotzt fir d'Vergaangenheet auszedrécken."
Ikon,IKON1UNI3,SUBST,icon,graphic symbol,"du muss zweemol op déi Ikon do klicken, fir dat Dokument opzemaachen",(computer science) a graphic symbol (usually a simple picture) that denotes a program or a command or a data file or a concept in a graphical user interface,"(e Computerwëssenschaft) e grafescht Symbol (meeschtens e klengt Bild), dat an enger grafescher Benotzeruewerfläch e Programm, e Kommando, eng Datei oder e Konzept duerstellt","e klengt Symbol oder Bild um Computerbildschierm, dat e Programm oder eng Datei duerstellt an op dat ee klickt fir et opzemaachen oder auszeféieren","Eng reliéis Duerstellung oder e symbolescht Bild, dat besonnesch an der orthodoxer Kierch veréiert gëtt."
iwwerraschen,IWWERRASCHEN1UNI1,VRB,to surprise,to cause surprise,mäi Mann huet mech mat engem Bijou iwwerrascht,cause to be surprised,"bewierken, datt een erstaunt ass","Engem onerwaart Freed maachen oder eppes maachen, wat een net erwaart huet.","'iwwerraschen' bedeit, een onerwaart ze erféieren oder ze erstaunen."
just,JUST2UNI8,ADV,just,nothing but,mir hunn an der Mëttesstonn just eng Klengegkeet giess,and nothing more,an näischt anescht méi,"nëmmen, nëmmen eng kleng Quantitéit oder näischt anescht wéi dat genannten","""just"" bedeit gerecht, fair oder richteg; et kann och ""grad elo"", ""gerade eben"" oder ""nëmmen"" heeschen, jee no Kontext."
kenne léieren,KENNELEIEREN1UNI1,VRB,to meet,to make the acquaintance of,"et géif eis freeën, däin neie Frënd kennen ze léieren",get to know; get acquainted with,Bekanntschaft maache mat enger Persoun oder enger Saach,eng Persoun fir d'éischt Kéier treffen an domat vertraut ginn,"Eng Persoun oder eppes nei entdecken, begéinen oder vertraut domat ginn."
Ketten,KETTEN1UNI7,SUBST,chain,of businesses,vill kleng Epicerië gi vun de grousse Ketten iwwerholl,(business) a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,"(business) Eng Rei vu gläichaartegen Etablissementer (Geschäfter, Restauranten, Banken, Hoteller oder Theateren), déi engem eenzege Besëtzer gehéieren.","Grouss Betriber mat méi Geschäfter, déi ënner engem gemeinsamen Numm oder enger Mark funktionéieren.","Ketten: Plural vu ""Kette""; flexibel Verbindungen aus Metallréng oder Glidder, déi benotzt gi fir Saachen ze befestegen, ze zéien oder ze droen."
Kinnek,KINNEK1UNI4,SUBST,king,chess piece,hien huet de Kinnek mat engem Bauer schachmatt gesat,(chess) the weakest but the most important piece,(Schach) déi schwaachst awer wichtegst Figur um Spillbrett,"Kinnek: e männleche Monarch, deen un der Spëtzt vun engem Kinnekräich steet.","E Kinnek ass e männleche Monarch, deen un der Spëtzt vun engem Kinnekräich steet an dacks duerch Ierfschaft un d'Muecht kënnt."
kommunal,KOMMUNAL1UNI1,ADJ,local,"local government, regional",dës Reegelung gëllt nëmmen op kommunalem Niveau,relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area,"bezitt sech op d'Verwaltung vun enger Stad, enger Uertschaft oder engem Quartier, an net op e méi grousst Gebitt",bezitt sech op d'Gemeng oder lokal Autoritéiten,"Kommunal bedeit, datt eppes zu enger Gemeng gehéiert oder op Gemengeniveau organiséiert gëtt."
kompostéieren,KOMPOSTEIEREN1UNI1,VRB,to compost,to make into compost,mir kompostéieren all organesch Offäll aus eisem Stot,convert to compost,an Dünger ëmwandelen,organesch Offäll duerch natierlech Zersetzung an Dünger ëmwandelen,"Kompostéieren bedeit organesch Offäll wéi Uebst- a Geméisreschter, Blieder oder Gras ze sammelen an ze behandelen, fir datt se sech natierlech zersetzen an zu Kompost ginn, deen als Dünger am Gaart benotzt ka ginn."
konstitutionell,KONSTITUTIONELL1UNI1,ADJ,constitutional,relating to governing principles,"fir eng konstitutionell Kris ze verhënneren, ass d'Verfassung geännert ginn",sanctioned by or consistent with or operating under the law determining the fundamental political principles of a government,"am Aklang mat oder ënnerstëtzt duerch d'Gesetz, dat déi grondleeënd politesch Prinzippie vun enger Regierung festleet",bezitt sech op d'Verfassung oder ass am Aklang mat der Verfassung,"Konstitutionell bedeit ""am Zesummenhang mat enger Verfassung oder no enger Verfassung gereegelt""."
Kritik,KRITIK1UNI1,SUBST,criticism,disapproval,"ech weess, datt ech soss näischt ewéi Kriticke vun dir ze erwaarden hunn",disapproval expressed by pointing out faults or shortcomings,"Ausdrock vun Onzefriddenheet, andeems Feeler oder Schwächten ervirgehuewe ginn.",d'Äusserung vun enger negativer Bewäertung oder Beanstandung iwwer eppes oder een,"Kritik: Eng Bewäertung oder Beuerteelung vun eppes, déi positiv oder negativ ka sinn; och eng Äusserung, déi Feeler oder Schwächten opweist."
lafen,LAFEN1UNI7,VRB,to run,a race,bass du schonn eng Kéier e Marathon gelaf ?,compete in a race,bei enger Course géint anerer untrieden,"sech séier zu Fouss fortbeweegen, lafen oder rennen","Lafen: Séier zu Fouss virukommen, sech séier mat de Been fortbeweegen."
Leefer,LEEFER1UNI2,SUBST,bishop,chess piece,dee schwaarze Leefer beweegt sech nëmmen op deene schwaarze Felder,(chess) a piece that can be moved diagonally over unoccupied squares of the same color,"(echecs) eng Figur, déi sech diagonal iwwer fräi Felder vun der selwechter Faarf beweege kann","E Schachfigur, déi diagonal iwwer d'Felder zitt.","E Leefer ass eng Persoun, déi bei engem Laf oder enger Course matleeft."
maachen,MAACHEN1UNI6,VRB,to make,to cause to become,déi Nouvelle huet mech trauereg gemaach,make or cause to be or to become,"bewierken oder dozou féieren, datt eppes ass oder gëtt",Eppes maachen heescht eng Handlung ausféieren oder eppes bewierken.,"""maachen"": eppes maachen, produzéieren oder ausféieren; eng Handlung duerchféieren."
manipuléieren,MANIPULEIEREN1UNI2,VRB,to manipulate,to influence,mat sengem Gerieds huet hie vill Leit kënne manipuléieren,"control (others or oneself) or influence skillfully, usually to one's advantage","aner Leit oder sech selwer op eng geschéckt Manéier beaflossen oder steieren, meeschtens fir en eegene Virdeel erauszezéien","aner Leit beaflossen oder steieren, fir datt se maachen oder denken, wat ee wëll","Manipuléieren: Eppes oder een op eng geschéckt oder hannerlëschteg Manéier beaflossen oder steieren, fir en eegene Virdeel ze kréien."
Marsch,MARSCH1UNI2,SUBST,walk,way of walking,et erkennt een dech scho vu Wäitem un dengem Marsch,manner of walking,Aart a Weis wéi ee geet,"Aart a Weis, wéi eng Persoun geet oder trëppelt.","Eng Marsch ass e rhythmeschen, militäreschen oder musikalesche Schrëtt oder e Stéck Musek, dat speziell fir d'Marschéiere komponéiert gouf."
matspillen,MATSPILLEN1UNI1,VRB,to play,to participate as a player,"wann s de wëlls matspillen , muss de dech un d'Reegelen halen!",participate in games or sport,bei Spiller oder Sportaktivitéite matmaachen,matmaachen oder sech un engem Spill bedeelegen,Mat Iessen op eng onuerdentlech oder verschwenderesch Aart a Weis ëmgoen.
matzielen,MATZIELEN1UNI2,VRB,to count,to be taken into account,fir d'Moyenne zielen déi zwee Fächer net mat,take account of,berécksiichtegen,"bei enger Berechnung berécksiichtegen, mathuelen oder afléisse loossen",Mat enger Grupp zesummen zielen; beim Zielen dobäihuelen.
metallesch,METALLESCH1UNI1,ADJ,metallic,resembling metal,"fënns de net, datt d'Waasser e metallesche Goût huet?",containing or made of or resembling or characteristic of a metal; ; ; - Ambrose Bierce,"aus engem Material gemaach, dat wéi Metall ausgesäit oder sech esou ufillt, oder Eegeschafte vun engem Metall huet",wat no Metall schmaacht oder richt,"Metallesch bedeit, datt eppes d'Eegeschafte vun engem Metall huet oder wéi e Metall ausgesäit, sech ufillt oder kléngt."
Mëttelfeld,METTELFELD1UNI1,SUBST,midfield,of a sports pitch,nëmme wéineg Attacke vum Géigner sinn iwwer d'Mëttelfeld erauskomm,(sports) the middle part of a playing field (as in football or lacrosse),(sportlech) den zentrale Beräich vum Spillterrain (wéi zum Beispill am Fussball oder Lacrosse),"De mëttelsten Deel vum Spillfeld, besonnesch am Fussball, tëscht der Verteidegung an dem Stuerm.","Mëttelfeld: De Beräich an der Mëtt vum Spillfeld, besonnesch am Fussball, wou d'Spiller d'Verbindung tëscht Verteidegung an Ugrëff maachen."
Mineur,MINEUR2UNI1,SUBST,miner,mineworker,beim Accident an der Galerie sinn dräi Mineuren ëmkomm,laborer who works in a mine,"Aarbechter, deen an engem Biergwierk schafft","E Persoun, déi ënnerierdesch an engem Biergwierk schafft.","Mineur: Eng Persoun, déi ënnerierdesch schafft, fir Mineralien oder Kuel ofzebauen."
Minière,MINIERE1UNI1,SUBST,mine,excavation,d'Exploitatioun vun der Minière ass net méi rentabel,excavation in the earth from which ores and minerals are extracted,"Ausgruewung an der Äerd, aus där Äerz a Mineralie geholl ginn.","Plaz oder Anlag, wou Mineralien oder Äerz aus dem Buedem ofgebaut ginn.","Minière: Eng Plaz oder Anlag, wou Mineralien oder Äerz aus dem Buedem ofgebaut ginn."
moossen,MOOSSEN1UNI3,VRB,to measure,to be of a specified size,ech moosse bal zwee Meter,have certain dimensions,bestëmmte Moossen hunn,D'Längt oder Héicht vun eppes feststellen oder bestëmmen.,"Moossen: Duerch e Moossinstrument d'Gréisst, d'Längt oder d'Quantitéit vun eppes bestëmmen."
musikalesch,MUSIKALESCH1UNI2,ADJ,musical,skilled in music,ech kommen aus enger musikalescher Famill,talented in or devoted to music,begabt an interesséiert u Musek,"mat Musek ze dinn hunn; musikalesch bedeit, datt een Talent fir Musek huet oder Musek gär huet",Musek betreffend oder musikalesch talentéiert.
nach,NACH1UNI10,ADV,only,nothing but,"well ech just nach mäin Handy benotzen, hunn ech den Haustelefon ofgemellt",and nothing more,an näischt weider,"nach: nëmmen, nëmmen nach, nëmme méi eng Saach oder Aktioun déi iwwreg bleift.","nach: weist op eppes hin, wat duerno kënnt oder nach net geschitt ass; weist och op eppes hin, wat weiderhin oder ëmmer nach besteet."
ofsprangen,OFSPRANGEN1UNI3,VRB,to jump,to parachute,d'Parachutiste sinn hanner de feindleche Linnen ofgesprongen,jump from an airplane and descend with a parachute,aus engem Fliger sprangen an mat engem Fallschierm erofkommen,"aus engem Fliger oder vun enger héijer Plaz erofsprangen, besonnesch mat engem Fallschierm landen","Ofsprangen: eppes wat geplangt war, net maachen oder ofsoen; op eppes verzichten."
oft,OFT1UNI2,ADV,often,in many cases,"d'Leit wëssen oft net, u wie se sech solle wenden, wa se mat deem Problem konfrontéiert ginn",in many cases or instances,a ville Fäll oder Situatiounen,"vill Mol, heefeg, méi wéi eemol",Dacks; vill Mol; heefeg.
onkologesch,ONKOLOGESCH1UNI1,ADJ,oncological,concerned with tumours,d'Chimiotherapie ass eng vun de weesentlechen onkologeschen Therapien,of or relating to or practicing oncology,bezitt sech op d'Behandlung an d'Erfuerschung vu Kriibserkrankungen,"onkologesch: bezitt sech op d'Onkologie, d'Medezin déi sech mat der Diagnos an der Behandlung vu Kriibserkrankunge beschäftegt.","Onkologesch bezitt sech op d'Onkologie, also op d'Behandlung, Diagnos an Erfuerschung vu Kriibserkrankungen."
organesch,ORGANESCH1UNI1,ADJ,organic,relating to a bodily organ,fir meng Verdauungsproblemer fënnt d'Doktesch keng organesch Ursaach,involving or affecting physiology or bodily organs,betrëfft oder beaflosst d'Physiologie oder Kierperdeeler,kierperlech bedéngt; wat mat den Organer vum Kierper zesummenhänkt,"Organesch bedeit, datt eppes aus liewegen Organismen kënnt oder ouni kënschtlech Chemikalien hiergestallt gouf."
