word	definition1	definition2	usage
Deckel	Ofdeckung vun engem Behälter.	Eng erreegbar Top oder Cover.	vergiess net, den Deckel vun der Këscht zouzeklappen!
Deckel	Kapp.	Den ieweschten Deel vum mënschleche Kierper.	mir hunn eng bei den Deckel kritt
Deckelsmouk	Reptil, charakteriséiert duerch eng Schutzschuel, déi säi Kierper ëmkreest.	Déieren aus der Klass vun de Reptiller.	wéi d'Kanner d'Deckelsmouk wollten upaken, huet se sech an hire Panzer zeréckgezunn
Dënschdeg	Den zweeten Dag vun der Woch.	Ass den zweeten Dag vun der Woch.	mir hunn déi zwee éischt Dënschdeger am Mount Versammlung
Dezember	Den zwielefte Mount vum Joer.	Ass den zwieleften a leschte Mount am Gregorianesche Kalenner.	d'Nopere fueren am Dezember an de Wantersport
Dreschmaschinn	Eng landwirtschaflech Maschinn déi benotzt gouf fir Kärefriichten.	Eng Dreschmaschinn ass eng landwirtschaftlech Maschinn déi benotzt gouf fir Kärefriichten, haaptsächlech Fruucht ze dreschen.	Béid Zorte vun Dreschmaschinnen trenne Käre vu Stréi, Bettwäsch an Offall.
eng	Weiblechen onbestëmmten Artikel.	Identifizéiert onpräzis an onbestëmmend.	op den Diech läit eng dënn Kusch Schnéi
Ënnerdaach	Eng einfach Struktur mat engem Daach.	Schutzdeckung déi Schutz géint d'Wieder ubitt.	d'Flüchtlingen hunn an engem Heem e provisoreschen Ënnerdaach fonnt
Fotograf	E Mann dee Biller mat engem Fotoapparat mécht.	Een dee professionell Fotoe mécht.	fir seng Hochzäit huet mäi Brudder e professionelle Fotograf engagéiert
Gemeng	Déi klengst administrativ Ënnerdeelung.	De klengste Verwaltungsbezierk vun e puer europäesche Länner.	zu Lëtzebuerg gëtt et iwwer honnert Gemengen
heemesch	En Adjektiv dat am grousse Ganze Persounen.	Eng gebierteg Persoun déi an enger bestëmmter Plaz gebuer gouf.	d'Kängurue sinn an Australien heemesch
Ikon	E klengt Bild oder Symbol op engem Ecran, dat eng Uwendung, Datei oder Funktioun duerstellt, op déi geklickt ka ginn, fir dës opzemaachen oder aktivéieren.	Eng visuell Representatioun vun engem Objet.	du muss zweemol op déi Ikon do klicken, fir dat Dokument opzemaachen
jett	Eng onbestëmmten Unzuel vu Saachen oder Leit.	E Quantifizéieren dee benotzt ka gi fir op en onpräzise Betrag ze referenzéieren.	an deem Dossier bleift nach jett ze klären
Käppchen	E klengt Stéck Pabeier.	E klenge Tocken, deen op e Bréif oder Gepackte festleet ass fir unzeweisen datt d'Postkëschte bezuelt goufen.	ech hu vergiess, e Käppchen op de Bréif ze pechen
Land	E Land am Sënn vu Staat.	Territoire iwwer deem Reegel oder Kontroll ausgeüübt gëtt.	Lëtzebuerg ass e Land an Europa.
Land	Am Sënn vum festen Terrain.	D'Gebitt an där Immobilien ass.	D'Schëff koum an den Hafen an d'Passagéier sinn u Land gaangen.
Land	Eng politesch an administrativ Andeelung vum Federalstaat.	Den Territoire vun enger Natioun besat.	Baden-Württemberg ass eent vun de siechzéng Länner an der Bundesrepublik Däitschland.
Mamm	De weiblechen Elterendeel vun engem Kand.	Eng Fra déi e Kand gebuer huet.	de Schüler huet senger Mamm hir Ënnerschrëft nogemaach
natierlech	Wéi an der Natur.	Wéi kéint erwaart ginn.	natierlech kachen ech der eppes, wann s de mech den Owend besiche kënns!
Organ	Kierperdeel mat enger spezifescher Funktioun.	Eng voll differenzéiert strukturell a funktionell Eenheet an engem Déier spezialiséiert fir eng bestëmmte Funktioun.	hien ass bereet, no sengem Doud seng Organer ze spenden
Poschett	En Accessoire an der Männermoud a Form vun engem klenge Schnappech.	Quadrat Stéck Stoff benotzt fir d'Aen oder d'Nues ze wëschen.	d'Poschett muss bei d'Krawatt passen!
Quëtsch	E Museksinstrument aus der Famill vun de Blosinstrumenter.	E portabel box-fërmleche fräi-Blietchen Instrument.	de Musikant huet e puer flott Melodien op senger Quëtsch gespillt
Rëndvéi	Domestikéiert Rannerdéieren déi vum wëllen.	Domestikéiert Rëndfleesch als Grupp onofhängeg vu Geschlecht oder Alter.	déi Kränkt fënnt een nëmme beim Rëndvéi
Säit	Jiddwereng vun den zwou Facë vun engem Blat en engem Buch.	E liichte Schnouer.	Op wat fir eng Säit ass d'Bild vun der Bréck?
Teddybier	Kuscheldéier a Form vun engem Bier.	Spillsaach besteet aus engem Bier aus Stoff.	eist Klengt kann ouni säin Teddybier net aschlofen
Usbekistan	Staat an Zentralasien.	Eng Land a West Zentralasien.	ech kommen aus Usbekistan
Vëlo	En eespueregt Verkéiersmëttel dat meeschtens zwee Rieder huet.	E Gefier dat zwee Rieder huet a vu Pedalle beweegt gëtt.	wann d'Wieder et erlaabt, fueren ech mam Vëlo op d'Aarbecht
Wäschbier	En Mamendéieren nuetsaktiven Déier.	En Déier aus der procyonid Famill.	de Wäschbier ass eng aus Nordamerika ageféiert Aart, déi problematesch fir eenheemesch Déierenaarte kéint ginn
Xenon	E chemescht Element, dat zu den Eedelgase gehéiert.	Gaselement dat an der Äerdatmosphär optrieden.	d'Element Xenon gehéiert zum Grupp vun den Eedelgasen
Yak	Eng Ranneraart déi an Zentralasien virkënnt.	Grouss laang-Hoer wëll Ochs.	Dëst Land huet vill Yaks
Zocker	Ee séissen Nahrungsmëttel deen aus Planze gewonnene gëtt.	E wäiss kristalle Kuelenhydrat benotzt als Séisser a Konservéierungsstoff.	d'Bomi mécht ëmmer dräi Läffelen Zocker an hire Kaffi
Aachtchen	e Produkt, dat duerch Effort oder Aktivitéit oder Handlung vun enger Persoun oder enger Saach produzéiert oder erreecht gëtt		um Enn vum Joer mécht de President de Bilan vun der Aarbecht vum Club
Aarm	e Stroum oder Floss, deen mat engem méi groussen Stroum oder Floss verbonne ass	En iweschte Kierperdeel vum Mënsch.	kuck, du hues en Himmelsdéierchen um Aarm sëtzen! 
Abléck	e bestëmmte Punkt an der Zäit		dat war en historeschen Abléck
Absence	den Zoustand vun der Absence		wat ass wärend menger Absence geschitt?
Abus	falsch oder onpassend oder iwwerdriwwen benotzen		a Saache Jugendaarbecht mussen all méiglech Abuse verhënnert ginn
Affektatioun	eng Aarbecht an enger Organisatioun		d'Gebai gëtt renovéiert a kritt eng nei Affektatioun
Absolventin	eng Persoun déi en Diplom vun enger Schoul (High Schoul oder Kollege oder Universitéit) kritt huet		ech wousst laang net, datt meng Büroskolleegin Absolventin vun enger renomméierter Uni ass 
Affär	eng normalerweis geheim oder illegal sexuell Bezéiung		mäi Monni huet eng Affär mat enger bestueter Fra
Affektatioun	eng Aarbecht an enger Organisatioun		d'Gebai gëtt renovéiert a kritt eng nei Affektatioun
affichéieren	ze weisen, siichtbar oder offensichtlech ze maachen		d'Resultater ginn um Ecran affichéiert
Agence	eng Divisioun vun enger méi grousser oder méi komplexer Organisatioun		d'Bank huet hien als Gerant vun der Agence op der Gare nominéiert
Agrement	autoriséieren offiziell		de Ministère huet den Agrement nach net zeréckgeschéckt
Ahorn	Holz vun all verschiddene Ahornbäumen; besonnesch dat haart, enkkornegt Holz vum Zucker Ahorn; besonnesch fir Miwwelen a Buedem benotzt		eisen neie Schaf ass aus Ahorn
äiseg	extrem kal		no där äiseger Wanternuecht war de Séi zougefruer
äiseg	ouni Häerzlechkeet a Frëndschaft; ausgedréckt mat Feindseligkeet oder Verachtung		déi zwee Géigner sëtze sech mat äisege Minne géintiwwer
akustesch	vun oder am Zesummenhang mat der Wëssenschaft vun der Akustik		d'Rout Luucht ass mat engem akustesche Signal fir blann Leit ekipéiert
Akzent	speziell Betonung, déi mat eppes verbonne ass		am President senger Neijoerschried louch den Akzent op de positiven Aspekter vum vergaangene Joer
akzeptabel	fir den Zweck adequat		si kruten hir Wunneng zu engem akzeptabele Präis
alkoholesch	Charakteristesch fir Alkohol oder et enthält Alkohol		et ass verbueden, alkoholescht Gedrénks u Jonker ënner siechzéng Joer ze verkafen 
alliéiert	mat engem Vertrag oder Accord vereenegt		déi alliéiert Zaldote goufen agesat, fir de Fridden ze sécheren 
Tranche	eng Deel vun eppes		als Entrée gouf et eng Tranche Fierkelsjelli
heemesch	natierlech Planzen a Déieren		d'Kängurue sinn an Australien heemesch
Hond	e Member vum Genus Canis (wahrscheinlech aus dem allgemenge Wollef erofkomm) dat vum Mënsch zënter prähistorischer Zäiten domestizéiert gouf; an ville Rassen optrieden		si verdroe sech ewéi Hond a Kaz
zerbäissen	mat oder wéi mat den Zänn oder Kiefer ze greifen, ze schneiden oder ze zerreiwen		déi zwee Kuederen hu sech zerbass an zerkraazt
Monsieur	e Mann vu raffinéiert		dee Monsieur hei behaapt, hien hätt ëm zéng Auer Rendez-vous bei der Direktesch
schëdden	Staark reenen		wéi mer aus dem Fliger geklomme sinn, huet et (ewéi mat Eemeren) geschott
Majoritéit	(Wahl) méi wéi d'Halschent vun de Stëmmen		d'Partei huet d'Wale mat enger staarker Majoritéit gewonnen
derangéieren	fir unerfreede oder Unbequemlechkeeten ze verursaachen		derangéiert et Iech, wann ech fëmmen?
			
Noléissegkeet	Net virsiichteg		esou Noléissegkeete gi vum Patron net toleréiert
sozial	zesummen liewen oder am Liewen an Gemeinschaften oder organiséierten Gruppen genéissen		d'Seejomesse si sozial Insekten
héichrechnen	eng ongeféier Berécksiichtegung vun der Quantitéit oder dem Grad oder dem Wäert		eise Comptabel huet d'Depensen héichgerechent
Éiwegkeet	Zäit ouni Enn		dës Bréck gouf fir d'Éiwegkeet gebaut
zesummelafen	Sammelen		et huet esou gereent, datt d'Waasser mer an de Schong zesummegelaf ass
Wuertschatz	Kenntniss vu Wierder		de Wuertschatz vun enger lieweger Sprooch erweidert sech permanent
ausdroen	Eng Entscheedung (an engem Sträit) erbäi féieren		net all Sträit muss virun engem Geriicht ausgedroe ginn
Narb	Eng Spuer, déi (normalerweis op der Haut) bei der Heelung vun verletzem Gewebe hannerlooss gëtt		hatt huet eng grouss Narb vun enger Häerzoperatioun behalen
Reduktioun	Den Akt fir eppes méi kleng ze maachen		en explizitt Zil vun der Reform ass d'Reduktioun vun de Käschten
oniwwersiichtlech	onfäeg sinn fir alles ze gesinn		déi Kräizung ass oniwwersiichtlech
Äifer	Zoustand vu Roserei		meng Mamm dreift mech dacks mat hire Froen an den Äifer
Buuscht	zerstruwwelt Hoer; struwweleg Hoer		kämm der emol de Buuscht , ier s de ënner d'Leit gees!
Saisie	eppes duerch e juristesche Prozess a Besëtz huelen		wéi d'Leit hir Schold net konnten zeréckbezuelen, huet d'Geriicht eng Saisie op hirem Haus gesprach
platt	Eppes an deem net genug Loft dran ass		däi viischte Pneu ass platt
éieren	enger Persoun Éier zoukommen loossen		hie gouf wéinst sengem Asaz fir de Fridden an Europa geéiert
Schnuff	Virun projizéierend Deel vum Kapp vun e puer Déieren; enthält d'Kächen an d'Nus		de Kéiseker huet eng spatz Schnuff
Variatioun	Oofwiesslung		deen Auteur kéint e bësse méi Variatioun a seng Texter bréngen
aggressiv	intensiv		an den Achtzegerjore waren déi aggressiv Faarwe modern
Barium	e mëllt sëlwrëgt Metallelement vun der Alkalierdeng; am Barit fonnt		d'Element Barium gehéiert zum Grupp vun den Äerdalkalimetaller
Commerce	an de Handel mat		den elektronesche Commerce huet dëst Joer vill zougeholl
Fudder	Iessen; nëmmen aus Déieren benotzt		d'Fudder fir d'Véi soll propper an narhaft sinn
Komponistin	een deen Musek als Beruff komponéiert		d'Komponistin vun der Filmmusek gouf mat engem Präis ausgezeechent
passéieren	laanscht fueren		de Peloton soll géint zwou Auer passéieren
Positioun	eng rationaléiert mental Haltung		d'Delegéiert hu kontrovers Positioune vertrueden
